iter	Passed	Remaining
582	7523	5381
583	7539	5370
584	7554	5359
585	7570	5348
586	7587	5338
587	7605	5328
588	7620	5317
589	7650	5316
590	7679	5314
591	7701	5307
592	7728	5304
593	7749	5296
594	7769	5288
595	7796	5284
596	7818	5277
597	7849	5276
598	7874	5271
599	7901	5267
600	7926	5262
601	7951	5257
602	7979	5253
603	8004	5247
604	8028	5241
605	8046	5231
606	8066	5222
607	8080	5209
608	8095	5197
609	8110	5185
610	8125	5173
611	8149	5166
612	8181	5165
613	8216	5165
614	8247	5163
615	8273	5157
616	8295	5149
617	8313	5138
618	8331	5128
619	8356	5121
620	8376	5111
621	8395	5102
622	8415	5092
623	8438	5084
624	8457	5074
625	8476	5064
626	8494	5053
627	8512	5042
628	8530	5031
629	8557	5025
630	8575	5014
631	8594	5004
632	8616	4995
633	8637	4986
634	8657	4976
635	8676	4965
636	8699	4957
637	8717	4946
638	8735	4934
639	8750	4922
640	8768	4910
641	8785	4898
642	8802	4887
643	8819	4875
644	8838	4864
645	8855	4852
646	8872	4840
647	8888	4828
648	8908	4817
649	8924	4805
650	8943	4794
651	8958	4781
652	8976	4770
653	8991	4757
654	9006	4744
655	9021	4730
656	9037	4718
657	9054	4706
658	9073	4695
659	9094	4684
660	9114	4674
661	9132	4662
662	9150	4651
663	9168	4639
664	9184	4626
665	9201	4614
666	9217	4602
667	9235	4590
668	9252	4577
669	9267	4564
670	9284	4552
671	9306	4542
672	9325	4531
673	9341	4518
674	9358	4505
675	9376	4493
676	9392	4481
677	9407	4467
678	9424	4455
679	9438	4441
680	9454	4428
681	9469	4415
682	9485	4402
683	9500	4389
684	9515	4375
685	9530	4362
686	9548	4350
687	9564	4337
688	9580	4324
689	9594	4310
690	9610	4297
691	9625	4284
692	9641	4271
693	9657	4258
694	9673	4245
695	9688	4231
696	9703	4218
697	9718	4204
698	9732	4191
699	9748	4177
700	9763	4164
701	9778	4151
702	9794	4137
703	9808	4123
704	9822	4110
705	9837	4096
706	9852	4083
707	9867	4069
708	9881	4055
709	9896	4042
710	9912	4028
711	9926	4015
712	9940	4001
713	9955	3987
714	9974	3975
715	9989	3962
716	10003	3948
717	10016	3934
718	10029	3919
719	10042	3905
720	10056	3891
721	10069	3877
722	10081	3862
723	10093	3847
724	10106	3833
725	10119	3819
726	10131	3804
727	10143	3789
728	10155	3775
729	10167	3760
730	10179	3746
731	10194	3732
732	10209	3718
733	10225	3705
734	10240	3692
735	10254	3678
736	10268	3664
737	10283	3650
738	10297	3636
739	10312	3623
740	10326	3609
741	10340	3595
742	10355	3582
743	10370	3568
744	10388	3555
745	10403	3542
746	10417	3528
747	10432	3514
748	10447	3501
749	10462	3487
